Customer ID,Subscription Length (Months),Customer Satisfaction Score (1-10),Daily Watch Time (Hours),Engagement Rate (1-10),Device Used Most Often,Genre Preference,Region,Payment History (On-Time/Delayed),Subscription Plan,Churn Status (Yes/No),Support Queries Logged,Age,Monthly Income ($),Promotional Offers Used,Number of Profiles Created
106,41,9,3.13,8,Tablet,Comedy,Asia,On-Time,Basic,No,1,49,7901,No,1
107,48,5,4.33,6,Tablet,Romance,North America,Delayed,Basic,No,2,51,9101,No,3
108,42,2,3.88,4,Laptop,Romance,Africa,On-Time,Basic,No,1,51,2274,Yes,5
109,41,6,4.32,2,Tablet,Romance,Asia,On-Time,Basic,No,6,58,8259,Yes,4
110,42,6,3.08,1,Mobile,Action,Oceania,On-Time,Basic,No,8,20,9131,Yes,1
111,18,6,5.8,6,Tablet,Sci-fi,North America,On-Time,Basic,No,3,21,5511,Yes,3
112,23,7,2.41,7,Smart TV,Drama,Asia,On-Time,Basic,No,10,63,6351,Yes,5
113,21,6,4.79,5,Tablet,Comedy,Oceania,On-Time,Basic,No,6,52,2941,Yes,2
114,54,4,5.05,6,Smart TV,Comedy,Africa,On-Time,Premium,No,10,33,9001,Yes,4
115,20,1,1.64,1,Mobile,Drama,North America,Delayed,Premium,Yes,7,56,7153,No,2
116,35,8,5.46,9,Mobile,Romance,Asia,On-Time,Basic,No,10,31,5795,No,5
117,28,2,1.46,2,Laptop,Drama,Africa,Delayed,Premium,No,10,23,8335,No,2
118,38,5,1.04,5,Tablet,Drama,Africa,On-Time,Standard,No,8,55,7487,Yes,3
119,19,7,3.26,7,Smart TV,Drama,Oceania,On-Time,Basic,No,3,35,1663,Yes,1
120,20,10,1.46,7,Tablet,Action,Europe,Delayed,Standard,Yes,2,58,7417,Yes,5
121,51,10,4.78,8,Laptop,Drama,Europe,On-Time,Basic,No,10,56,3545,Yes,3
122,24,9,3.5,9,Laptop,Action,South America,Delayed,Basic,Yes,8,35,7950,Yes,2
123,16,8,5.12,7,Smart TV,Sci-fi,South America,Delayed,Standard,Yes,6,37,1938,Yes,4
124,30,1,4.24,1,Mobile,Comedy,South America,On-Time,Standard,No,7,59,7837,Yes,4
125,19,9,5.75,10,Laptop,Sci-fi,South America,On-Time,Basic,No,7,66,9507,Yes,5
126,28,1,1.36,2,Smart TV,Drama,Africa,Delayed,Basic,No,10,55,8834,No,4
127,55,8,5.49,9,Smart TV,Comedy,Europe,On-Time,Standard,No,6,36,2599,Yes,2
128,7,10,2.33,10,Smart TV,Action,South America,On-Time,Premium,No,2,27,9947,Yes,5
129,27,7,3.44,8,Mobile,Action,Oceania,On-Time,Basic,No,7,48,5956,Yes,2
130,43,10,2.94,9,Smart TV,Comedy,Oceania,Delayed,Basic,No,3,55,5743,No,5
131,32,5,2.52,3,Laptop,Romance,North America,On-Time,Premium,No,2,52,2560,No,2
132,16,10,3.13,8,Laptop,Sci-fi,Europe,Delayed,Basic,Yes,10,29,4391,No,1
133,7,3,3.24,3,Laptop,Sci-fi,North America,On-Time,Basic,Yes,0,51,6532,No,1
134,22,6,5.36,2,Tablet,Sci-fi,Europe,On-Time,Premium,No,7,20,6855,Yes,4
135,4,7,5.08,8,Smart TV,Action,North America,On-Time,Basic,No,0,54,1280,No,5
136,15,9,3.45,10,Smart TV,Action,Oceania,On-Time,Premium,No,6,19,6762,Yes,1
137,11,7,4.07,7,Tablet,Sci-fi,Africa,On-Time,Basic,No,6,33,7282,No,5
138,5,9,4.0,9,Mobile,Romance,North America,On-Time,Basic,No,4,59,3180,Yes,5
139,22,9,2.29,8,Tablet,Romance,North America,On-Time,Standard,No,10,35,1564,No,5
140,52,9,2.26,8,Tablet,Sci-fi,Europe,On-Time,Basic,No,4,39,3129,No,1
141,56,9,2.45,7,Laptop,Comedy,South America,Delayed,Standard,No,10,54,5946,Yes,1
142,52,8,4.27,10,Laptop,Action,Asia,On-Time,Basic,No,4,50,1241,Yes,2
143,40,9,2.59,7,Smart TV,Comedy,North America,On-Time,Basic,No,10,30,9392,Yes,5
144,24,2,3.5,3,Laptop,Romance,North America,Delayed,Standard,Yes,9,37,5561,Yes,1
145,27,2,4.32,6,Tablet,Comedy,Africa,On-Time,Standard,No,4,66,8360,No,1
146,47,10,1.27,10,Tablet,Drama,Asia,On-Time,Standard,No,5,31,7637,No,5
147,50,9,3.95,7,Tablet,Comedy,Asia,On-Time,Basic,No,4,32,1326,Yes,2
148,41,7,4.44,7,Mobile,Comedy,North America,On-Time,Premium,No,0,70,4827,No,1
149,37,7,3.16,10,Laptop,Comedy,South America,On-Time,Basic,No,1,42,9014,No,1
150,34,8,5.47,10,Tablet,Romance,Europe,On-Time,Standard,No,2,30,2755,Yes,1
151,41,7,2.58,7,Mobile,Drama,Europe,On-Time,Standard,No,5,42,6129,Yes,5
152,18,9,5.05,10,Laptop,Comedy,Asia,Delayed,Basic,Yes,0,22,8686,Yes,4
153,25,9,5.43,8,Smart TV,Action,North America,On-Time,Standard,No,4,63,6255,Yes,3
154,10,7,2.59,8,Laptop,Romance,Europe,On-Time,Premium,No,10,50,9740,No,1
155,4,8,3.52,7,Mobile,Romance,South America,Delayed,Basic,Yes,7,61,1600,Yes,4
156,13,7,2.18,7,Mobile,Comedy,Africa,On-Time,Basic,No,8,22,2432,No,2
157,54,5,3.45,3,Tablet,Action,Oceania,Delayed,Premium,No,10,29,3104,Yes,5
158,19,3,2.74,1,Tablet,Romance,North America,On-Time,Basic,No,10,65,8415,Yes,5
159,14,8,2.08,8,Laptop,Sci-fi,Asia,Delayed,Basic,Yes,4,32,6971,Yes,5
160,59,9,3.95,10,Smart TV,Sci-fi,Asia,Delayed,Standard,No,7,18,5541,No,2
161,24,3,5.92,2,Mobile,Comedy,Asia,On-Time,Basic,No,6,47,5557,Yes,2
162,42,9,3.03,8,Smart TV,Drama,South America,Delayed,Basic,No,2,64,1878,No,5
163,40,7,4.57,8,Smart TV,Comedy,Asia,Delayed,Basic,No,1,31,3062,Yes,3
164,29,10,2.25,9,Smart TV,Action,Oceania,Delayed,Standard,No,1,67,7824,No,4
165,25,10,5.75,7,Tablet,Action,South America,On-Time,Basic,No,3,52,2517,Yes,2
166,27,3,4.7,1,Tablet,Drama,North America,On-Time,Standard,No,0,68,7564,Yes,3
167,50,10,5.57,10,Smart TV,Romance,Asia,On-Time,Standard,No,6,51,9678,No,3
168,58,10,2.04,8,Mobile,Sci-fi,Europe,On-Time,Basic,No,6,57,1159,Yes,4
169,8,9,5.5,10,Tablet,Comedy,South America,On-Time,Basic,No,5,62,1432,No,3
170,39,10,2.72,7,Mobile,Drama,Asia,Delayed,Basic,No,10,30,7940,Yes,4
171,37,7,3.41,10,Smart TV,Sci-fi,Oceania,On-Time,Basic,No,1,67,7244,Yes,2
172,24,7,3.2,8,Smart TV,Romance,Oceania,On-Time,Standard,No,6,40,2107,No,3
173,24,6,3.07,3,Tablet,Romance,South America,On-Time,Standard,Yes,3,18,1373,No,3
174,14,9,2.67,8,Smart TV,Sci-fi,Asia,On-Time,Basic,No,0,21,2945,Yes,2
175,11,8,4.24,8,Smart TV,Romance,Asia,Delayed,Premium,Yes,7,42,6986,Yes,3
176,35,2,3.9,3,Mobile,Sci-fi,Africa,Delayed,Basic,No,10,65,3297,Yes,3
177,53,9,3.69,9,Tablet,Comedy,North America,On-Time,Standard,No,4,40,1166,Yes,1
178,28,8,3.5,9,Mobile,Action,Europe,Delayed,Basic,No,8,61,5993,Yes,5
179,17,8,1.48,8,Smart TV,Comedy,Europe,On-Time,Premium,No,10,45,4043,No,5
180,6,9,4.53,9,Laptop,Comedy,Oceania,On-Time,Basic,No,7,24,4467,Yes,1
181,5,7,1.89,8,Tablet,Action,Oceania,On-Time,Basic,No,7,69,8186,No,5
182,44,1,1.68,4,Smart TV,Drama,Oceania,On-Time,Premium,No,7,27,7197,No,1
183,59,4,5.4,1,Smart TV,Drama,North America,Delayed,Basic,No,1,50,7098,Yes,1
184,33,10,3.33,9,Tablet,Sci-fi,North America,Delayed,Standard,No,1,32,1644,No,1
185,51,8,1.88,10,Tablet,Sci-fi,Europe,On-Time,Standard,No,9,65,8493,Yes,4
186,20,7,2.19,8,Laptop,Comedy,North America,Delayed,Basic,Yes,5,31,2980,No,5
187,18,8,5.01,9,Mobile,Comedy,Oceania,On-Time,Basic,No,0,41,6869,Yes,3
188,25,7,1.47,10,Tablet,Drama,Africa,On-Time,Standard,No,0,66,6825,No,3
189,46,8,1.91,10,Mobile,Romance,Africa,On-Time,Premium,No,0,34,7575,No,5
190,40,8,1.77,8,Laptop,Romance,Asia,On-Time,Premium,No,9,55,5511,Yes,2
191,9,8,2.08,9,Smart TV,Drama,Asia,On-Time,Standard,No,5,66,5640,Yes,5
192,39,9,1.28,10,Tablet,Action,North America,On-Time,Basic,No,9,63,8292,No,1
193,54,9,5.84,8,Mobile,Romance,South America,On-Time,Basic,No,6,66,7727,No,2
194,39,1,2.7,1,Laptop,Comedy,South America,Delayed,Basic,No,9,64,2819,Yes,3
195,23,10,4.24,10,Smart TV,Drama,North America,On-Time,Basic,No,6,25,8431,Yes,4
196,54,7,4.23,10,Laptop,Sci-fi,South America,On-Time,Basic,No,1,30,9158,Yes,5
197,41,8,5.35,9,Tablet,Drama,Oceania,On-Time,Basic,No,10,27,9312,No,3
198,30,7,3.49,10,Laptop,Sci-fi,Oceania,On-Time,Basic,No,2,65,7013,Yes,4
199,49,7,3.72,7,Laptop,Action,Africa,On-Time,Basic,No,2,24,1631,Yes,3
200,15,7,2.34,7,Tablet,Action,Africa,On-Time,Premium,No,1,69,4365,No,2
201,23,2,2.56,3,Tablet,Action,South America,On-Time,Basic,No,4,65,9157,Yes,5
202,23,8,4.57,9,Mobile,Drama,Asia,On-Time,Basic,No,0,21,9811,Yes,4
203,41,1,5.44,3,Laptop,Sci-fi,Africa,On-Time,Premium,No,8,49,7972,Yes,2
204,14,7,3.04,10,Laptop,Sci-fi,Africa,On-Time,Standard,No,10,53,3800,No,4
205,40,8,3.21,7,Laptop,Drama,Asia,Delayed,Basic,No,6,47,8776,Yes,1
206,36,6,4.08,5,Tablet,Comedy,Asia,Delayed,Basic,No,1,24,1661,No,4
207,60,9,2.26,10,Tablet,Drama,Africa,On-Time,Premium,No,5,43,3836,Yes,1
208,42,8,3.78,9,Mobile,Action,Oceania,Delayed,Standard,No,2,45,8684,Yes,2
209,54,8,2.02,8,Laptop,Action,South America,On-Time,Basic,No,0,60,8702,Yes,2
210,54,8,2.62,8,Laptop,Romance,Oceania,Delayed,Basic,No,8,52,1704,No,5
211,10,4,2.12,6,Smart TV,Sci-fi,South America,On-Time,Standard,No,10,20,9016,Yes,2
212,29,7,3.01,10,Tablet,Action,Africa,On-Time,Standard,No,5,62,6164,No,2
213,16,2,1.94,3,Laptop,Sci-fi,Africa,On-Time,Premium,No,1,50,1336,Yes,4
214,55,7,2.62,7,Mobile,Sci-fi,North America,Delayed,Basic,No,0,26,2086,No,5
215,41,10,5.33,8,Tablet,Drama,Asia,On-Time,Basic,No,5,25,6822,No,4
216,17,8,2.83,10,Tablet,Sci-fi,South America,On-Time,Basic,No,4,35,8584,Yes,5
217,46,1,2.27,2,Tablet,Romance,Europe,On-Time,Basic,No,9,35,7617,Yes,4
218,58,3,1.88,1,Smart TV,Drama,Europe,On-Time,Premium,No,6,21,7050,Yes,5
219,1,7,3.43,10,Mobile,Romance,South America,On-Time,Basic,No,6,69,4692,No,2
220,28,7,2.49,10,Smart TV,Action,Africa,On-Time,Standard,No,3,27,7115,No,2
221,10,4,1.17,1,Laptop,Comedy,Oceania,Delayed,Basic,Yes,10,51,5273,Yes,5
222,43,3,1.36,4,Mobile,Sci-fi,Asia,On-Time,Premium,No,5,57,8021,No,1
223,16,7,3.1,7,Laptop,Comedy,Asia,Delayed,Standard,Yes,6,43,6532,Yes,5
224,36,5,3.43,3,Smart TV,Sci-fi,North America,On-Time,Basic,No,5,48,7073,No,3
225,52,8,4.94,10,Smart TV,Romance,North America,On-Time,Basic,No,3,48,5882,Yes,2
226,33,7,5.35,9,Smart TV,Drama,North America,On-Time,Basic,No,6,27,3016,No,5
227,58,9,4.22,8,Tablet,Sci-fi,Europe,Delayed,Standard,No,3,28,6460,Yes,4
228,51,8,4.98,10,Tablet,Romance,South America,On-Time,Premium,No,5,52,2540,Yes,4
229,18,8,3.33,8,Mobile,Drama,Europe,Delayed,Premium,Yes,4,22,5811,Yes,1
230,15,8,4.76,10,Laptop,Action,North America,Delayed,Premium,Yes,5,50,3182,No,3
231,22,10,4.9,9,Mobile,Drama,Asia,On-Time,Standard,No,2,64,6549,No,5
232,41,9,2.93,9,Mobile,Action,South America,On-Time,Basic,No,1,37,6330,Yes,5
233,50,6,1.76,6,Smart TV,Sci-fi,Asia,On-Time,Standard,No,2,67,4342,Yes,4
234,51,4,1.69,6,Smart TV,Drama,Europe,Delayed,Premium,No,9,42,6490,Yes,5
235,26,4,1.6,1,Tablet,Sci-fi,South America,On-Time,Standard,No,10,44,5244,Yes,4
236,33,1,5.68,3,Mobile,Romance,Africa,On-Time,Basic,No,1,52,3222,No,4
237,54,9,5.8,10,Laptop,Sci-fi,Oceania,On-Time,Basic,No,7,47,3257,Yes,4
238,32,1,5.82,1,Mobile,Romance,North America,On-Time,Standard,No,0,64,2271,Yes,2
239,4,8,3.41,7,Laptop,Comedy,South America,On-Time,Basic,No,8,30,5660,Yes,3
240,41,8,5.11,8,Tablet,Romance,South America,On-Time,Basic,No,4,50,2012,No,3
241,40,9,3.83,8,Tablet,Action,Europe,Delayed,Standard,No,10,19,2892,Yes,1
242,48,10,2.36,9,Laptop,Drama,Oceania,Delayed,Standard,No,6,61,4156,No,1
243,20,7,1.31,9,Mobile,Comedy,Africa,On-Time,Basic,No,6,57,4352,Yes,5
244,17,8,2.98,8,Tablet,Drama,South America,On-Time,Basic,No,3,19,6004,Yes,4
245,48,7,5.72,7,Mobile,Romance,Oceania,Delayed,Standard,No,3,61,3567,No,2
246,41,4,2.86,6,Tablet,Sci-fi,North America,On-Time,Basic,No,4,68,5937,No,1
247,11,7,2.22,10,Tablet,Comedy,Asia,Delayed,Premium,Yes,4,57,8524,No,5
248,45,4,2.28,4,Tablet,Drama,Europe,Delayed,Premium,No,2,38,1607,Yes,3
249,56,9,1.77,8,Mobile,Comedy,South America,On-Time,Basic,No,8,51,1145,Yes,5
250,2,10,5.06,8,Laptop,Sci-fi,North America,On-Time,Premium,No,5,44,8731,Yes,3
251,7,1,2.53,1,Laptop,Comedy,Oceania,Delayed,Basic,Yes,3,25,5576,Yes,4
252,40,7,3.59,7,Tablet,Comedy,Europe,On-Time,Basic,No,4,20,1298,No,2
253,58,7,5.12,7,Mobile,Romance,South America,On-Time,Standard,No,4,69,9580,Yes,4
254,11,3,4.63,3,Laptop,Sci-fi,Oceania,On-Time,Premium,No,5,44,5036,Yes,5
255,51,2,5.43,4,Laptop,Sci-fi,Africa,On-Time,Standard,No,8,58,5796,Yes,5
256,54,5,3.35,6,Smart TV,Romance,South America,On-Time,Standard,No,7,54,6991,No,1
257,31,8,5.84,7,Laptop,Action,South America,Delayed,Premium,No,0,39,6622,No,3
258,12,2,3.81,1,Mobile,Sci-fi,South America,On-Time,Standard,Yes,2,59,3382,No,3
259,22,8,1.87,8,Tablet,Sci-fi,Africa,Delayed,Standard,Yes,1,50,7535,No,3
260,28,4,2.64,6,Smart TV,Drama,Asia,On-Time,Premium,No,4,43,7316,No,1
261,55,7,1.44,9,Laptop,Sci-fi,Oceania,On-Time,Standard,No,9,41,2951,Yes,1
262,42,10,2.1,9,Laptop,Drama,Africa,On-Time,Standard,No,5,32,6861,Yes,3
263,54,8,2.45,9,Smart TV,Sci-fi,Africa,On-Time,Basic,No,0,32,3263,Yes,2
264,28,7,1.92,8,Laptop,Romance,Africa,Delayed,Basic,No,3,31,2101,Yes,4
265,21,10,5.92,7,Tablet,Romance,South America,On-Time,Premium,No,1,44,7162,Yes,3
266,43,10,2.95,8,Tablet,Romance,North America,Delayed,Premium,No,10,23,8948,Yes,3
267,20,6,4.52,1,Tablet,Sci-fi,North America,Delayed,Premium,Yes,10,57,8647,Yes,2
268,36,10,4.05,8,Smart TV,Comedy,South America,On-Time,Basic,No,2,52,6447,Yes,3
269,4,7,1.21,7,Mobile,Comedy,Africa,Delayed,Basic,Yes,9,37,5770,Yes,3
270,52,10,2.89,9,Smart TV,Action,South America,On-Time,Standard,No,7,69,4754,No,4
271,10,7,5.51,9,Smart TV,Romance,Oceania,On-Time,Basic,No,5,52,4299,Yes,5
272,12,7,5.36,10,Mobile,Romance,South America,On-Time,Premium,No,0,56,4750,Yes,2
273,27,7,2.71,9,Mobile,Drama,Asia,On-Time,Basic,No,1,54,2200,No,3
274,25,8,2.16,9,Mobile,Romance,Oceania,On-Time,Basic,No,3,38,6991,No,1
275,35,9,4.15,10,Laptop,Action,Europe,On-Time,Basic,No,1,41,3163,Yes,3
276,47,1,1.47,2,Tablet,Romance,Africa,On-Time,Basic,No,4,51,2953,No,3
277,44,4,3.68,1,Smart TV,Romance,North America,On-Time,Basic,No,3,65,4472,Yes,3
